emoticon_code,description
ʕo•ᴥ•ʔ⊂(σUσ⊂),con gấu
ʕo•ᴥ•ʔ⊂(・U・⊂),con gấu
ʕo•ᴥ•ʔ♡ʕ≚ᴥ≚oʔ,con gấu
ʕo•ᴥ•ʔ♡ฅʕᵔᴥo๑ʔ,con gấu
ʕo•ᴥ•ʔ♪,con gấu
ʕo•ᴥ•ʔ✎,con gấu
ʕo•ᴥ•ʔ✎:),con gấu
ʕo•ᴥ•ʔ✎:C,con gấu
ʕo•ᴥ•ʔ✎●,con gấu
ʕo•ᴥ•ᑷʕ•ᴥ•oʔ,con gấu
ʕo•∀•ʔ♪,con gấu
ʕo⁰̈ᴥ⁰̈ʔʕ⁰̈ᴥ⁰̈oʔ,con gấu
ʕo≖ ͜ʖ≖ʔ,con gấu
ʕo≧ᴥ≦ʔ(ᵔ.ᵔ❀),con gấu
ʕo≧ᴥ≦ʔ(ᵔUᵔ❀),con gấu
ʕo≧ᴥ≦ʔ^•ﻌ•o^,con mèo
ʕo≧ᴥ≦ʕ≚ᴥ≚๑ʔ,con gấu
ʕo⋆ᴥ⋆oʔ,con gấu
ʕo╹ᴥ╹oʔ,con gấu
ʕo╹ᴥ╹ʔ,con gấu
ʕo╹ᴥ╹ʔ/ʕ•́ ᴥ •̀๑ʔ,con gấu
ʕo╹ᴥ╹ʔฅ,con gấu
ʕo╹ᴥ╹๑ʔ,con gấu
ʕo■▾■ʔ,con gấu
ʕo◉Ꮂ◉ʔ,koala
ʕo◉Ꮂ◉ʔ(o ε o),koala
ʕo◉Ꮂ◉ʔ(ᵒ˵U˵ᵒO),koala
ʕo◉Ꮂ◉ʔ\(0 ε 0)/,koala
ʕo◉Ꮂ◉ʔ\(o ε o)/,koala
ʕo◉Ꮂ◉ʔ\(⍤ ε ⍤)/,koala
ʕo◉Ꮂ◉ʔᕕ(⩾ヮ⩽)ᕗ,koala
ʕo◉Ꮂ◉ʔ♡,koala
ʕo◉ᴥ◉(◉ᴥ◉u),chó
ʕo◉ᴥ◉ʔ,con gấu
ʕo◉ᴥ◉ʔ♡,con gấu
ʕo◕ᴥ◕ʔ,con gấu
ʕo◡oʔ,con gấu
ʕoﻌo๑ʔ,con gấu
ʕoﻌo๑ʔᑫ♥Ĺ̯♥ᑷ,con gấu
ʕoﻌo❀ʔ,con gấu
ʕo･ ᴥ･ ʔ,con gấu
ʕo･ ᴥ･ ʔ♡,con gấu
ʕo･ ᴥ･ʔ♡,con gấu
ʕo･ ᴥ･ʔ♡(ᵒ˵U˵ᵒ🌸),con gấu
ʕo￢ Ꮂ￢ ʔ,koala
ʕpᴥpʔ,con gấu
ʕpᴥqʔ,con gấu
ʕpᴥqʔฅ,con gấu
ʕqᴥqʔ,con gấu
ʕu//ᴥ//uʔ,con gấu
ʕuᴥUʔ,con gấu
ʕuᴥuʔ,con gấu
ʕuᴥuʔ.zZ,con gấu
ʕuᴥuʔ♬,con gấu
ʕx‸xOʔ,con gấu
ʕx‸xʔ,con gấu
ʕ •ᴥ•ʔ,con gấu
ʕ ⊃･ ◡ ･ ʔ⊃,con gấu
ʕ¬∀¬ʔ,con gấu
ʕ¯ᴥ¯oʔ,con gấu
ʕ¯ᴥ¯ʔ,con gấu
ʕ¯ᴥ¯ʔ ʕ¯ᴥ¯ʔ ʕ¯ᴥ¯ʔ,con gấu
ʕ¯ᴥ¯ʔ ฅ,con gấu
ʕ¯ᴥ¯ʔ ฅ🍉,con gấu
"ʕ¯ᴥ¯ʔ(❛,❛)",con gấu
"ʕ¯ᴥ¯ʔ(❛,❛❁)",con gấu
ʕ¯ᴥ¯ʔ(❛0❛❁),con gấu
ʕ¯ᴥ¯ʔ.zZ,con gấu
ʕ¯ᴥ¯ʔZzz,con gấu
ʕ¯ᴥ¯ʔฅ,con gấu
ʕ¯ᴥ¯ʔฅʕ⁰ᴥ⁰̈❀ʔ,con gấu
ʕ¯ᴥ¯ʔฅ♥,con gấu
ʕ¯ᴥ¯●ʔ,con gấu
ʕ¯ᴥ¯✿ʔ,con gấu
ʕ¯ᴥ¯✿ʔZzz,con gấu
ʕ°ᴥ°ʔ ♡ ʕ°ᴥ° ʔ,con gấu
ʕ°ᴥ°ʔ*:･ﾟ✧,con gấu
ʕ°ヮ°๑ʔ,con gấu
ʕ°꒵°๑ʔ,con gấu
ʕ´ ʖ̯`ʔ,con gấu
ʕ´ ͜つ`ʔ,con gấu
ʕ´>ᴥ<`ʔ,con gấu
ʕ´>㉨<`ʔ,con gấu
ʕ´>㉨<`ʔ●＼ʕ·㉨·＼ʔ,con gấu
ʕ´>㉨<`ʔ✿,con gấu
ʕ´>㉨<ʔ,con gấu
ʕ´·Ⓣ·ʔ,con gấu
ʕ´˘ᴥ˘ʔ,con gấu
ʕ´˘㉨˘ʔ,con gấu
ʕ´༎ຶ ͟ل͜´༎ຶʔ,con gấu
ʕ´Ꮂ`ʔ,koala
ʕ´Ꮂ`ʔ(ᵔ.ᵔ❀),koala
ʕ´Ꮂ`ʔ❀,koala
ʕ´ᵔ//Ꮂ//ᵔ`oʔ,koala
ʕ´ᵔ//Ꮂ//ᵔ`๑ʔ,koala
ʕ´ᵔ㉨ᵔʔ,con gấu
ʕ´• ѽ •`ʔ,con gấu
ʕ´• ѽ •`ʔʕ´• ಎ •`ʔ,con gấu
ʕ´• ಎ •`ʔ,con gấu
ʕ´• ᴥ •`ʔ,con gấu
ʕ´• ᴥ •`ʔᕳ º . º ᕲ,con gấu
ʕ´• ᴥ •`ʔᕳ º U º ᕲ,con gấu
ʕ´• ᴥ •`ʔᕳ º ▾ º ᕲ,con gấu
ʕ´• ᴥ•̥`ʔ,con gấu
ʕ´• ‸ •`ʔ,con gấu
ʕ´• ⍊ •`ʔ,con gấu
ʕ´• ▾ •`ʔ,con gấu
ʕ´• ▾ •`ʔʕ´• ᴥ •`ʔ,con gấu
ʕ´• 人 •`ʔ,con gấu
ʕ´•ᴥ•` ʔ,con gấu
ʕ´•ᴥ•`ʔ,con gấu
ʕ´•ᴥ•`ʔʕ¯ᴥ¯ʔʕ´•ᴥ•`ʔ,con gấu
ʕ´•ᴥ•`ʔσ”,con gấu
ʕ´•ᴥ•`ʔσ”  ʕ； •`ᴥ•´ʔ,con gấu
ʕ´•ᴥ•`ʔฅ,con gấu
ʕ´•ᴥ•`ʔฅʕ¯ᴥ¯ʔฅ,con gấu
ʕ´•ᴥ•`ʔฅʕ¯ᴥ¯ʔฅʕ´•ᴥ•`ʔ,con gấu
ʕ´•ᴥ•`ʔฅ☆ฅʕ´•ᴥ•`ʔ,con gấu
ʕ´•ᴥ•`ʔฅ☆ฅʕ´⁰̈ᴥ⁰̈`ʔ,con gấu
ʕ´•ᴥ•`ʔ☆,con gấu
ʕ´•Ⓣ•ʔ,con gấu
ʕ´•㉨•`ʔ,con gấu
ʕ´•㉨•`ʔ(`Ꮂ`◎),koala
ʕ´•㉨•`ʔ(ᵔ▿ᵔc),con gấu
ʕ´•㉨•`ʔ´•㉨•`ʔ,con gấu
"ʕ´•㉨•`ʔ´•㉨•`ʔ
ʕ´•㉨•`ʔ´•㉨•`ʔ
ʕ´•㉨•`ʔ´•㉨•`ʔ",con gấu
ʕ´•㉨•`ʔ♡⋆ʚ(╹U╹•)ɞ,con gấu
ʕ´•㉨•`ʔ♡⋆ʚ(╹U╹•)ɞʕᵔᴥᵔ ❀ʔ,con gấu
ʕ´•㉨•`ʕ´•㉨•`ʔ´•㉨•`ʔ,con gấu
ʕ´•㉨•`˵ʔ,con gấu
ʕ´•㉨•`˵ʔ (≧◡≦),con gấu
ʕ´•㉨•`˵ʔ (≧◡≦✿),con gấu
ʕ´•㉨•`๑ʔ,con gấu
ʕ´•㉨•`๑ʔ(◕▿◕c),con gấu
ʕ´•㉨•`○ʔ(ᵔ▿ᵔc),con gấu
ʕ´•㉨•`○ʔ(◕▿◕c),con gấu
ʕ´•㉨•`◎ʔ,con gấu
ʕ´•㉨•`●ʔ,con gấu
ʕ´•㉨•`⚈ʔ,con gấu
ʕ´•㉨•`❀ʔ,con gấu
ʕ´•㉨•`ﾐʔ,con gấu
ʕ´•㉨•ʔ(ᵔ▿ᵔc),con gấu
ʕ´⁰̈ᴥ⁰̈`ʔ(っ- ‸ - ς),con gấu
ʕ´⁰̈ᴥ⁰̈`ʔฅ     o,con gấu
ʕ´⁰̈ᴥ⁰̈`ʔฅ     o     ฅʕ´⁰̈ᴥ⁰̈`ʔ,con gấu
ʕ´⁰̈ᴥ⁰̈`ʔฅ     o  ʕ¯ᴥ¯ʔ,con gấu
ʕ´⁰̈ᴥ⁰̈`ʔฅ     oฅʕ¯ᴥ¯ʔ,con gấu
ʕ´⁰̈ᴥ⁰̈`ʔฅ(≅ᆽ≅)ฅ,con mèo
ʕ´⁰̈ᴥ⁰̈`ʔฅoฅʕ´⁰̈ᴥ⁰̈`ʔ,con gấu
ʕ´⁰̈ᴥ⁰̈`ʔฅ●,con gấu
ʕ´⁰̈ᴥ⁰̈`ʔฅ☆ฅʕ´⁰̈ᴥ⁰̈`ʔ,con gấu
ʕ´⁰̈ᴥ⁰̈`ʔ♥(ˆᗜˆ`๑),con gấu
ʕ´⁰̈ᴥ⁰̈ʔ,con gấu
ʕ´╭╮`ʔ,con gấu
ʕ´╹㉨╹`˵ʔ (≧◡≦),con gấu
ʕ´●ᴥ●ʔ,con gấu
ʕ´♥ᴥ♥`ʔ,con gấu
ʕ´♥ᴥ♥`ʔฅ,con gấu
ʕ´❛ Ⓣ ❛ʔ,con gấu
ʕ´❛ᴥ❛`ʔ,con gấu
ʕ´❛ᴥ❛`ʔ(ᵔUᵔo),con gấu
ʕ´❛ᴥ❛`ʔ/☆,con gấu
ʕ´❛ᴥ❛`ʔʕᵔᴥᵔoʔ,con gấu
ʕ´❛ᴥ❛`ʔʕ╹ᴥ╹˵ʔ,con gấu
ʕ´❛ᴥ❛`ʔᕦ(ᵔUᵔᕦ),con gấu
ʕ´❛ᴥ❛`ʔ⊂ʕ•ᴥ•⊂ʔ,con gấu
ʕ´❛ᴥ❛`ʔ┌iiii┐ʕ´❛ᴥ❛`ʔ,con gấu
ʕ´❛ᴥ❛`ʔ☀,con gấu
ʕ´❛ᴥ❛`ʔ❁cʕ•́ ᴥ •̀cʔ,con gấu
ʕ´❛ᴥ❛ʔ(ᵔUᵔo),con gấu
ʕ´❛ᴥ❛ʔ(ᵔUᵔ✿),con gấu
ʕ´❛ᴥ❛ʔ(ᵔUᵔ❀),con gấu
ʕ´❛ᴥ❛ʔ/☆,con gấu
ʕ´❛ᴥ❛ʔ☆,con gấu
ʕ´❛ᴥ❛ʔ☆(^ε^ ),con gấu
ʕ´❛ᴥ❛ʔ✿,con gấu
ʕ´ㆁᴥㆁ`ʔ,con gấu
ʕ´ㆁᴥㆁʔ,con gấu
ʕ´ㆁⓉㆁʔ,con gấu
ʕ´ꈍᴥꈍ`ʔ☀,con gấu
ʕ´ꈍᴥꈍʔ☀,con gấu
ʕ´ꈍᴥꈍʔ☀(˘▽˘✿),con gấu
ʕ· ᴥ·  ʔ,con gấu
ʕ· ᴥ· ʔ,con gấu
ʕ· ᴥ· ʔ  (º0º ),con gấu
ʕ· ᴥ·ʔ,con gấu
ʕ·//ᴥ//·ʔ,con gấu
ʕ·//ᴥ//·ʔʕᵔᴥᵔ✿ʔ,con gấu
ʕ·dʕ•ᴥ•dʔ·ʔ,con gấu
ʕ·͡ˑ·ཻʔ,con gấu
ʕ·͡ˑ·ཻʔෆ⃛ʕ•̫͡•ོʔ,con gấu
ʕ·͡ᴥ· ʔ,con gấu
ʕ·͡ᴥ· ʔฅ,con gấu
ʕ·͡ᴥ·ʔ,con gấu
ʕ·͡ᴥ·ʔ ฅ,con gấu
ʕ·͡ᴥ·ʔ(U´•ᴥ•`),con gấu
ʕ·͡ᴥ·ʔ(˘U˘)♡,con gấu
ʕ·͡ᴥ·ʔฅ,con gấu
ʕ·͡ᴥ·ʔฅ(U´•ᴥ•`),chó
ʕ·͡ᴥ·ʔฅ❀,con gấu
ʕ·͡ᴥ·ʔ❤️,con gấu
ʕ·͡ᴥ·ʔ❤️(˘U˘),con gấu
ʕ·͡ᴥ·ʔ❤️(˘U˘)♡,con gấu
ʕ·͡ﻌ·ʔʕ·͡ﻌ·oʔ,con gấu
ʕ·ᴥ·  ʔ,con gấu
ʕ·ᴥ· ʔ,con gấu
ʕ·ᴥ·ʔ,con gấu
ʕ·ᴥ·ʔฅ,con gấu
ʕ·ᴥ·ʔ＼（＾○＾）人（＾○＾）／,con gấu
ʕ·ᴥ·˵ ʔ,con gấu
ʕ·ᴥ·˵　ʔ,con gấu
ʕ·ᴥ·๑ʔ,con gấu
ʕ·ᴥ·　ʔ,con gấu
ʕ·ᴥʔ,con gấu
ʕ·㉨·ʔ,con gấu
ʕº́גº̀ʔ,con gấu
ʕº́גº̀ʔⒽⓤⒼ,con gấu
ʕº̫͡º ʔ,con gấu
ʕº̫͡ºʔ,con gấu
ʕºᴥºʔ,con gấu
ʕºᴥ≦ʔ,con gấu
"ʕò,óʔ",con gấu
ʕò.óʔ,con gấu
ʕòᴥóʔ,con gấu
ʕóᴥòʔ,con gấu
ʕóᴥò◍ʔ,con gấu
ʕóᴥò◍ʔ(●ᴥ●▼),chó
ʕóᴥò✿ʔ,con gấu
ʕó㉨ò ʔ,con gấu
ʕó㉨òʔ,con gấu
ʕȌᴥȌʔ,con gấu
ʕȌ益Ȍʔ,con gấu
ʕȍДȍʔ,con gấu
ʕȍДȍʔ(๏ᴥ๏)╭☞,chó
ʕȍᎲȍʔ,koala
ʕȍᗝȍʔ,con gấu
ʕȍ╭╮ȍʔ,con gấu
ʕɵ̥̥ᴥɵ̥̥ʔ,con gấu
ʕɵ̥̥ᴥɵ̥̥ʔ♥,con gấu
ʕɵ̥̥ᴥɵ̥̥ʔ♥ʕᵔᴥᵔ❀ʔ♥,con gấu
ʕɵ̥̥ﻌɵ̥̥oʔ,con gấu
ʕɵ̥̥ﻌɵ̥̥๑ʔ,con gấu
ʕɵ̥̥ﻌɵ̥̥✿ʔ,con gấu
ʕɵ̥̥ﻌɵ̥̥❀ʔ,con gấu
ʕɵ̥̥ﻌɵ̥̥❀ʔ   (˚o˚’!),con gấu
ʕɵ̥̥ﻌɵ̥̥❁ʔ,con gấu
ʕɵ̥ﻌɵ✿ʔ,con gấu
ʕɵﻌɵ●ʔ,con gấu
ʕɵﻌɵ●ʔ   (˚o˚’!),con gấu
ʕɵﻌɵ✿ʔ,con gấu
ʕɵﻌɵ❀ʔ   (˚o˚’!),con gấu
ʕʘ.ʘʔ,con gấu
ʕʘʟ_ʘʔ,con gấu
ʕʘ̅͜ʘ̅ʔ,con gấu
ʕʘᎲʘʔ,koala
ʕʘ‿ʘʔ,con gấu
ʕʘ‿ʘʔ.✌,con gấu
ʕʘ╭∩╮ʘʔ,con gấu
ʕʘ人ʘʔ,con gấu
ʕʽɞʼʔ,con gấu
ʕˆᴥˆ๑ʔ,con gấu
ʕˆᴥˆ✿ʔ,con gấu
ʕˆᴥ❛✿ʔ,con gấu
ʕ˘ ᴥ ˘ʔ,con gấu
ʕ˘ ᴥ ˘ʔ/,con gấu
ʕ˘ᴥ˘oʔ,con gấu
ʕ˘ᴥ˘oʔɞ,con gấu
ʕ˘ᴥ˘ʔ,con gấu
ʕ˘ᴥ˘ʔʕ˘ᴥ˘ʔ,con gấu
ʕ˘ᴥ˘ʔʕ˘ᴥ˘✿ʔ,con gấu
ʕ˘ᴥ˘ʔฅ,con gấu
ʕ˘ᴥ˘ʔฅ(•ω•✿),con gấu
ʕ˘ᴥ˘ʔฅฅʕ˘ᴥ˘ʔ,con gấu
ʕ˘ᴥ˘ʔฅ◛,con gấu
ʕ˘ᴥ˘ʔฅ♥,con gấu
ʕ˘ᴥ˘ʔฅ♥ฅʕ˘ᴥ˘ʔ,con gấu
ʕ˘ᴥ˘ʔ♡∘˚˳°∘°⊂(˘ω˘),con gấu
ʕ˘ᴥ˘ʔ❀⊂ʕ•ᴥ•⊂ʔ,con gấu
ʕ˘ᴥ˘๑ʔ,con gấu
ʕ˘ᴥ˘❁ʔ,con gấu
ʕ˘ᴥ˘❁ʔɞ,con gấu
ʕ˘ᴥ˘🌸ʔ,con gấu
ʕ˘ᴥ❛๑ʔ,con gấu
ʕ˘ﻌ˘ʔ,con gấu
ʕ˘ﻌ˘๑ʔ,con gấu
ʕ˵ •́ᴥ•̀ʕᵔ//ᴥ//ᵔ ʔ,con gấu
ʕ˵ •́ᴥ•̀ʕ♥ᴥ♥๑ʔ,con gấu
ʕ˵´ ڡ `˵ʔ,con gấu
ʕ˵ᵔﻌᵔʔ♡,con gấu
ʕ˵ᵔﻌᵔʔ🍎,con gấu
ʕ˵ᵔﻌᵔ˵ʔ♡,con gấu
ʕ˵ᵔﻌᵔ˵ʔ♡ʕᵔ//ᴥ//ᵔ ʔ,con gấu
ʕ˵ᵔﻌᵔ˵ʔ♡ʕᵔ//ᴥ//ᵔʔ,con gấu
ʕ˵◕ᴥ◕ʔ☆ﾟ.*･｡ﾟ,con gấu
ʕ˵❛ᴥ❛ʔ☆ﾟ.*･｡ﾟ,con gấu
ʕ˶•͡ᴥ•ʔ,con gấu
ʕ˶•͡ᴥ•ʔ(◕U◕c),con gấu
ʕ˶•͡ᴥ•ʔ(◕ᴗ◕),con gấu
ʕ˶•͡ᴥ•ʔ(◕ᴗ◕˶),con gấu
ʕ˶•͡ᴥ•˶ʔ,con gấu
ʕ̡̢̡ʘ̅͟͜͡ʘ̲̅ʔ̢̡̢,con gấu
ʕ̡̢̡̡̢̡̡̢♡ᵒ̴̷͈艸ᵒ̴̷͈॰ʔ̢̡̢̢̡̢̢̡̢✧,con gấu
ʕ͙•̫͑͡•ʔͦ ʕͮ•̫ͤ͡• ʔ͙,con gấu
ʕ͙•̫͑͡•ʔͦ ʕͮ•̫ͤ͡•ʔ͙,con gấu
ʕ͙•̫͑͡•ʔͦʕͮ•̫ͤ͡•ʔ͙,con gấu
ʕ͙••̫͑͡•ʔͦʕͮ••̫ͤ͡•ʔ͙,con gấu
ʕπﻌπʔ,con gấu
ʕπﻌπ๑ʔ,con gấu
ʕπﻌπ✿ʔ,con gấu
ʕπﻌπ❀ʔ,con gấu
ʕσ‸σʔ,con gấu
ʕэ ͟ʖэʔ,con gấu
ʕэ∀эʔ,con gấu
ʕэ▾эʔ,con gấu
ʕ܍Ꮂ܍ʔ,koala
ʕ܍ᴥ܍ʔ,con gấu
ʕु-̫͡-ʔु ”♬,con gấu
ʕु-̫͡-ʔु”♬,con gấu
ʕु•̫͡•ʔु,con gấu
ʕु•̫͡•ʔुʔ•̫͡•ཻʕʕु•̫͡•ʔु,con gấu
ʕु•̫͡•ʔु☂,con gấu
ʕ੭·͡ᴥ·ʔ﻿ ੭,con gấu
ʕ੭·͡ᴥ·ʔ﻿ ੭(≧▿≦o)β,con gấu
ʕ੭·͡ᴥ·ʔ﻿ ੭ʕ´ó㉨ò`ʔ,con gấu
ʕ੭·͡ᴥ·ʔ﻿ ੭ʕ´•㉨•`ʔ,con gấu
ʕ੭·͡ᴥ·ʔ﻿ ੭ʕ•㉨• ʔ,con gấu
ʕ੭·͡ᴥ·ʔ﻿ ੭ʕ￫ᴥ￩ʔ,con gấu
ʕ੭·͡ᴥ·ʔ﻿ ੭ଘ(人ﾟ∀ﾟ),con gấu
ʕ੭·͡ᴥ·ʔ﻿੭/ᐠ˘Ꮂ˘✿ᐟ \,con mèo
ʕ੭·͡ᴥ·ʔ﻿੭/ᐠ˘ᴥ˘✿ᐟ \,con mèo
ʕ੭·͡ᴥ·ʔ﻿੭/ᐠ˘Ⓣ˘✿ᐟ \,con mèo
ʕ੭·͡ᴥ·ʔ﻿੭/ᐠ˘ェ˘✿ᐟ \,con mèo
ʕ੭·͡㉨·ʔ﻿ ੭(ᵒωᵒ🌸),con gấu
ʕ੭·͡㉨·ʔ﻿ ੭o,con gấu
ʕ੭·͡㉨·ʔ﻿ ੭ʕ´•ᴥ•`oʔ,con gấu
ʕ੭·͡㉨·ʔ﻿ ੭ʕ´•ᴥ•`ʔ,con gấu
ʕ੭·͡㉨·ʔ﻿ ੭ԅ(ᵒ▿ᵒԅ),con gấu
ʕ੭·͡㉨·ʔ﻿ ੭ฅʕ¯ᴥ¯ʔ,con gấu
ʕ੭·͡㉨·ʔ﻿ ੭ᕦ(ᵔUᵔᕦ),con gấu
ʕ੭·͡㉨·ʔ﻿ ੭⊂(ᵔUᵔ⊂),con gấu
ʕ੭·͡㉨·ʔ﻿ ੭╲ʕ·ᴥ·　╲ ʔ,con gấu
ʕ੭·͡㉨·ʔ﻿ ੭◍,con gấu
ʕ੭·͡㉨·ʔ﻿ ੭♥,con gấu
ʕ੭·͡㉨·ʔ﻿ ੭♥(ᴗ•̀ᴥ•́),con gấu
ʕ੭·͡㉨·ʔ﻿ ੭♥(ᵔ/ᴥ/ᵔU),chó
ʕ੭·͡㉨·ʔ﻿ ੭♥(●ᴥ●▼),chó
ʕ੭·͡㉨·ʔ﻿ ੭✲☆⋆,con gấu
ʕ੭·͡㉨·ʔ﻿ ੭❀╲ʕ·ᴥ·˵ ʔ,con gấu
ʕ੭·͡㉨·ʔ﻿ ੭❀╲ʕ·ᴥ·　╲ ʔ,con gấu
ʕ੭·͡㉨·ʔ﻿ ੭⫑(ᵔUᵔ⫑),con gấu
ʕ੭·㉨·ʔ﻿ ੭,con gấu
ʕ੭·㉨·ʔ﻿ ੭o,con gấu
ʕ੭·㉨·ʔ﻿ ੭⊂ʕ•ᴥ•⊂ʔ,con gấu
ʕ੭·㉨·ʔ﻿ ੭♡,con gấu
ʕ੭·㉨·ʔ﻿ ੭♡ʕᵔ//ᴥ//ᵔoʔ,con gấu
ʕ੭·㉨·ʔ﻿ ੭❁,con gấu
ʕ੭·㉨·ʔ﻿ ੭❁⊂(ᵔUᵔ⊂),con gấu
ʕథ ౪ థʔ,con gấu
ʕథ ౪థʔ,con gấu
ʕథ౪థ ʔ,con gấu
ʕథ౪థʔ,con gấu
ʕಠ_ಠʔ,con gấu
ʕง• ᴥ •ʔง,con gấu
ʕง• ᴥ •ʔงcʕ•ᴥ•cʔ,con gấu
ʕง• ᴥ •ʔงʕ>ᴥoʔ,con gấu
ʕง• ᴥ •ʔงʕง• ᴥ •ʔง,con gấu
ʕง• ᴥ •ʔงʕ♡ᴥ♡ʔ,con gấu
ʕง• ᴥ •ʔง🐟,con gấu
ʕง•_•ʔง,con gấu
ʕง•ᴥ•ʔง,con gấu
ʕง•ᴥ•ʔง((⊂(`ω´∩),con gấu
ʕง•ᴥ•ʔง),con gấu
ʕง♡ᴥ♡ʔง,con gấu
ʕง♡ᴥ♡ʔงʕ •ᴥ• ʔฅ♥,con gấu
ʕ๑ ￫ ᴥ ￩ ʔ✲☆⋆,con gấu
ʕ๑-ᴥ-ʔ•͡ᴥ•๑ʔ,con gấu
ʕ๑-ᴥ├┬┴┬┴,con gấu
ʕ๑0 ᴥ 0ʔ/🐟,con gấu
ʕ๑0ᴥ0ʔ•͡ᴥ•๑ʔ,con gấu
ʕ๑0ᴥ├┬┴┬┴,con gấu
ʕ๑>ᴥ0ʔ,con gấu
ʕ๑>ᴥ<ʔ•͡ᴥ•๑ʔ,con gấu
ʕ๑>ᴥ<ʔ♡ฅʕᵔᴥo๑ʔ,con gấu
ʕ๑>ᴥo),nháy mắt
ʕ๑>ᴥʕ•͡ᴥ•oʔ,con gấu
ʕ๑>ᴥ├┬┴┬┴,con gấu
ʕ๑>ᴥ◕ʔ,con gấu
ʕ๑>ᴥ◕ʔʕ¯ᴥ¯oʔ,con gấu
ʕ๑>ᴥ◕ʔ☆ﾟ.*･｡ﾟ,con gấu
ʕ๑>ᴥ◕ʔ♡,con gấu
ʕ๑>ᴥ◕ʔ🐟ฅ,con gấu
ʕ๑UᴥUʔ,con gấu
ʕ๑o ᴥ oʔ/🐟,con gấu
ʕ๑oᴥʕ•͡ᴥ•oʔ,con gấu
ʕ๑oᴥ├┬┴┬┴,con gấu
"ʕ๑¯ᴥ¯ʔ(❛,❛❁)",con gấu
ʕ๑¯ᴥ¯ʔ(❛0❛❁),con gấu
ʕ๑¯㉨¯ʔ,con gấu
ʕ๑·͡ᴥ·ʔ(˘U˘)♡,con gấu
"ʕ๑ȍ,ȍʔ",con gấu
ʕ๑ȍДȍʔ,con gấu
ʕ๑˵ᵔﻌᵔʔ(❛ᵕ❛)♡,con gấu
ʕ๑˵ᵔﻌᵔʔ🍎,con gấu
ʕ๑ᴥ๑ʔ,con gấu
ʕ๑ᵔ ᴥ ᵔʔ(ᵔ㉨ᵔ✿),con gấu
ʕ๑ᵔ ᴥ ᵔʔʕᵔᴥᵔoʔ,con gấu
ʕ๑ᵔ ᴥᵔʔ(≧ᴗ≦O),con gấu
ʕ๑ᵔ ᴥᵔʔʕᵔᴥᵔoʔ,con gấu
ʕ๑ᵔ ᴥᵔʔ•͡ᴥ•❀ʔ,con gấu
ʕ๑ᵔᴥᵔʔ(ᵔ㉨ᵔ✿),con gấu
ʕ๑ᵔᴥᵔʔ(≧ᴗ≦O),con gấu
ʕ๑ᵔᴥᵔʔʕᵔᴥᵔoʔ,con gấu
ʕ๑ᵔᴥᵔʔʕᵔᴥᵔ๑ʔ,con gấu
ʕ๑ᵔᴥᵔʔʕᵔᴥᵔ❀ʔ,con gấu
ʕ๑ᵔ㉨ᵔʔ,con gấu
ʕ๑ᵔﻌᵔʔʕ￫ ᴥ ￩ʔ,con gấu
ʕ๑ᵔﻌᵔʔʕ￫ ᴥ ￩❀ʔ,con gấu
ʕ๑ᵔﻌᵔʔ♥,con gấu
ʕ๑ᵔﻌᵔʔ❀,con gấu
ʕ๑ᵔﻌᵔʔ🍎,con gấu
ʕ๑ᵔﻌᵔʔ🍎♥,con gấu
ʕ๑• ᴥ •ʔ/🐟,con gấu
ʕ๑• ᴥ •ʔ☼⊂ʕ•ᴥ•⊂ʔ,con gấu
ʕ๑•́ ᴥ •̀ʔ,con gấu
ʕ๑•́ ᴥ •̀ʔ(′ꈍωꈍ‵),con gấu
ʕ๑•́ ᴥ •̀ʔ(≧ε≦๑),con gấu
ʕ๑•́ ᴥ •̀ʔ(≧ε≦♡),con gấu
ʕ๑•́ ᴥ •̀ʔ(ꈍωꈍ‵),con gấu
ʕ๑•́ ᴥ •̀ʔ/♥,con gấu
ʕ๑•́ ᴥ •̀ʔ/🍎,con gấu
ʕ๑•́ ᴥ •̀ʔ/🍎ʕ●ﻌ●❀ʔ,con gấu
ʕ๑•́ ᴥ •̀ʔʕoﻌo❀ʔ,con gấu
ʕ๑•́ ᴥ •̀ʔʕ•́ ᴥ •̀๑ʔ,con gấu
ʕ๑•́ ᴥ •̀ʔʕ•́ ᴥ •̀๑ʔ⊂(´ω`⊂ ),con gấu
ʕ๑•́ ᴥ •̀ʔʕ•́ ᴥ •̀✿ʔ,con gấu
ʕ๑•́ ᴥ •̀ʔʕ≚ᴥ≚oʔ,con gấu
ʕ๑•́ ᴥ •̀ʔʕ♥ᴥ♥๑ʔ,con gấu
ʕ๑•́ ᴥ •̀ʔ━☆,con gấu
ʕ๑•́ ᴥ •̀ʔ━☆(≧ω≦๑),con gấu
ʕ๑•́ ᴥ •̀ʔ♡,con gấu
ʕ๑•́ ᴥ •̀ʔ♡(oᴥoU),chó
ʕ๑•́ ᴥ •̀ʔ♡(◡ᴥ◡U),chó
ʕ๑•́ ᴥ •̀ʔ♡ʕ•́ ᴥ •̀  ʔ,con gấu
ʕ๑•́ ᴥ •̀ʔ♡ʕ•́ ᴥ •̀๑ʔ,con gấu
ʕ๑•́ ᴥ •̀ʔ♡ʕ•́ ᴥ •̀✿ʔ,con gấu
