emoticon_code,description,emoticon_type
ʕ•́ ᴥ •̀ʔ♡,con gấu,kaomoji
ʕ•́ ᴥ •̀ʔ♡ʕᵔᴥᵔʔ,con gấu,kaomoji
ʕ•́ ᴥ •̀ʔ❤️,con gấu,kaomoji
ʕ•́ ᴥ •̀ʔ❤️(ᵔ/ᴥ/ᵔU),chó,kaomoji
ʕ•́ ᴥ •̀✿ʔ,con gấu,kaomoji
ʕ•́ᴥ•̀ʔ(•͡ᴥ•❁),con gấu,kaomoji
ʕ•́ᴥ•̀ʔっ,con gấu,kaomoji
ʕ•́ᴥ•̀˵✿ʔ,con gấu,kaomoji
ʕ•́ᴥ•̀✿├┬┴┬,con gấu,kaomoji
ʕ•́ﻌ•̀ʔ,con gấu,kaomoji
ʕ•́ﻌ•̀✿ʔ,con gấu,kaomoji
ʕ•̠͡• ʔ,con gấu,kaomoji
ʕ•̠͡•ʔ,con gấu,kaomoji
ʕ•̥͡•ʔ,con gấu,kaomoji
ʕ•̫͡ʕ•̫͡ʕ•̫͡ʕ•̫͡•ʔ•̫͡•ʔ•̫͡•ʔ•̫͡•ʔ,con gấu,kaomoji
ʕ•̫͡• ʕ•̫͡•ʔ •̫͡•ʔ,con gấu,kaomoji
ʕ•̫͡•ʔ,con gấu,kaomoji
ʕ•̫͡•ʔ ʕ-̼͡-ʔ,con gấu,kaomoji
ʕ•̫͡•ʔ ♡ ʕ•̫͡•ʔ,con gấu,kaomoji
ʕ•̫͡•ʔ ♡ ʕ•͓͡• ʔ,con gấu,kaomoji
ʕ•̫͡•ʔ ♬ ✧,con gấu,kaomoji
ʕ•̫͡•ʔ ♬✧,con gấu,kaomoji
ʕ•̫͡•ʔ♡*:.✧,con gấu,kaomoji
ʕ•̫͡•ʔ♡ʕ•̫͡•ʔ,con gấu,kaomoji
ʕ•̫͡•ʔ♥ʕ•̫͡•ʔ,con gấu,kaomoji
ʕ•̫͡•ʔ♬✧,con gấu,kaomoji
ʕ•̫͡•ʔ❣ʕ-̼͡-ʔ,con gấu,kaomoji
ʕ•̫͡•ʕ*̫͡*ʕ•͓͡•ʔ-̫͡-ʕ•̫͡•ʔ*̫͡*ʔ,con gấu,kaomoji
ʕ•̫͡•ʕ*̫͡*ʕ•͓͡•ʔ-̫͡-ʕ•̫͡•ʔ*̫͡*ʔ-̫͡-ʔ,con gấu,kaomoji
ʕ•̫͡•ʕ•̫͡•ʔ•̫͡•ʔ,con gấu,kaomoji
ʕ•̫͡•ʕ•̫͡•ʔ•̫͡•ʔ•̫͡•ʕ•̫͡•ʔ•̫͡•ʕ•̫͡•ʕ•̫͡•ʔ•̫͡•ʔ•̫͡•ʕ•̫͡•ʔ•̫͡•ʔ,con gấu,kaomoji
ʕ•̫͡•ॽु✚ྉ*✲ﾟ*｡⋆ *,lấp lánh,kaomoji
ʕ•̫͡•ॽु✚⃞ ྉ*✲ﾟ*｡⋆ ℳෆth ℯr’s ⅅ ੨Ꮍ,lấp lánh,kaomoji
ʕ•̫͡•ॽु✚⃞ྉ*✲ﾟ*｡⋆ ℳෆth ℯr’s ⅅ ੨Ꮍ,lấp lánh,kaomoji
ʕ•̫͡•ིʔྀ,con gấu,kaomoji
ʕ•̫͡•ོʔ•̫͡•ཻʕ•̫͡•ʔ•͓͡•ʔ,con gấu,kaomoji
ʕ•̫๑͡•ʔ∣ժ̅ʒ∾ෆ⃛,con gấu,kaomoji
ʕ•̬͡•ʔ,con gấu,kaomoji
ʕ•̬͡•ʔ_ʕ•̬͡•ʔ,con gấu,kaomoji
ʕ•̬͡•ʕ•̫͡•♥,con gấu,kaomoji
ʕ•̭͡•ʕ•̯ͦ͡•ʕ•̻̀•́ʔ,con gấu,kaomoji
ʕ•̮͡• ʔ,con gấu,kaomoji
ʕ•̮͡•ʔ,con gấu,kaomoji
ʕ•̼͛͡• ʕ-̺͛͡•ʔ •̮͛͡•ʔ,con gấu,kaomoji
ʕ•̼͛͡•ʕ-̺͛͡•ʔ•̮͛͡•ʔ,con gấu,kaomoji
ʕ•͈͡•ʔ,con gấu,kaomoji
ʕ•͓͡• ʔ,con gấu,kaomoji
ʕ•͓͡•ʔ,con gấu,kaomoji
ʕ•͓͡•ʔ-̫͡-ʕ•̫͡•ʔ,con gấu,kaomoji
ʕ•͕͡•ʔ,con gấu,kaomoji
ʕ•͚͡•ʔ,con gấu,kaomoji
ʕ•͜ ͢ ͞ •ʔ,con gấu,kaomoji
ʕ•͡ ᴥ•͡  ʔ,con gấu,kaomoji
ʕ•͡-•ʔ,con gấu,kaomoji
ʕ•͡ɛ•͡ʼʼʔ,con gấu,kaomoji
ʕ•̫͡•ʕ_̫͡_ʕ•͓͡•ʔ-̫͡-ʕ•̫͡•ʔ_̫͡_ʔ-̫͡-ʔ,con gấu,kaomoji
ʕ•͡ω•ʔ,con gấu,kaomoji
ʕ•͡દ•ʔ,con gấu,kaomoji
ʕ•͡દ•ʔ❥ꋧ,con gấu,kaomoji
ʕ•͡౪•ʔ,con gấu,kaomoji
ʕ•͡ᴥ•,con gấu,kaomoji
ʕ•͡ᴥ• ʔ,con gấu,kaomoji
ʕ•͡ᴥ•*ʔ,con gấu,kaomoji
ʕ•͡ᴥ•-ʔ,con gấu,kaomoji
ʕ•͡ᴥ•oʔ,con gấu,kaomoji
ʕ•͡ᴥ•ʔ,con gấu,kaomoji
"ʕ•͡ᴥ•ʔ
(*⌒▽⌒* )",con gấu,kaomoji
ʕ•͡ᴥ•ʔ(˚o˚’!),con gấu,kaomoji
ʕ•͡ᴥ•ʔ(≧U≦❁)ɞ,con gấu,kaomoji
ʕ•͡ᴥ•ʔ(◕ᴗ◕˶),con gấu,kaomoji
ʕ•͡ᴥ•ʔ(◕ᴗ◕˶✿),con gấu,kaomoji
ʕ•͡ᴥ•ʔ/,con gấu,kaomoji
ʕ•͡ᴥ•ʔ/⋆,con gấu,kaomoji
ʕ•͡ᴥ•ʔ_(´ཀ`」 ∠)_,con gấu,kaomoji
ʕ•͡ᴥ•ʔʕ•͡ᴥ• ʔ,con gấu,kaomoji
ʕ•͡ᴥ•ʔ♥,con gấu,kaomoji
ʕ•͡ᴥ•ʔ♥ʕ˘ᴥ˘ʔ,con gấu,kaomoji
ʕ•͡ᴥ•ʔ♥ʕ•ᴥ•ʔ,con gấu,kaomoji
ʕ•͡ᴥ•ʔ♥ฅʕ˘ᴥ˘ʔ,con gấu,kaomoji
ʕ•͡ᴥ•ʔ♥⊂ʕ•ᴥ•⊂ʔ,con gấu,kaomoji
ʕ•͡ᴥ•˶ʔ,con gấu,kaomoji
ʕ•͡ᴥ•˶ʔ(^-^ *),con gấu,kaomoji
ʕ•͡ᴥ•͡ʔ,con gấu,kaomoji
ʕ•͡ᴥ•♡ʔ,con gấu,kaomoji
ʕ•͡ᴥ•♡ʔ(ᵒ˵U˵ᵒ🌸),con gấu,kaomoji
ʕ•͡ᴥ•♡ʔʕɵ̥̥ﻌɵ̥̥✿ʔ,con gấu,kaomoji
ʕ•͡ᴥ•❁ʔ,con gấu,kaomoji
ʕ•͡ᴥ•❁ʔ(◕ᴗ◕˶✿),con gấu,kaomoji
ʕ•͡ᴥ•❁ʔc(◕ᴗ◕˶✿),con gấu,kaomoji
ʕ•͡ᴥ•🌸ʔ,con gấu,kaomoji
ʕ•͡•ʔ,con gấu,kaomoji
ʕ•ӫ̫͡•ʔ,con gấu,kaomoji
ʕ•ૅૄ•ʔ,con gấu,kaomoji
ʕ•༘͡.•ʔ,con gấu,kaomoji
ʕ•ᴗ•ʔ,con gấu,western
ʕ•ᴥ-๑ʔ,con gấu,kaomoji
ʕ•ᴥ• ʔ,con gấu,kaomoji
ʕ•ᴥ• ʔ(oUo✿),con gấu,kaomoji
ʕ•ᴥ•cʔ,con gấu,kaomoji
ʕ•ᴥ•oʔ,con gấu,kaomoji
ʕ•ᴥ•oʔԅ( ˘ ω ˘ԅ ),con gấu,kaomoji
ʕ•ᴥ•oʔ♡,con gấu,kaomoji
ʕ•ᴥ•ʔ,con gấu,western
ʕ•ᴥ•ʔ (ˆ‿ˆ●),con gấu,kaomoji
ʕ•ᴥ•ʔ (・ᴥ・),chó,kaomoji
ʕ•ᴥ•ʔ (｡◕‿◕｡),con gấu,kaomoji
ʕ•ᴥ•ʔ = Cute Bear #1,con gấu,kaomoji
ʕ•ᴥ•ʔ(*´ ˘ `*),con gấu,kaomoji
ʕ•ᴥ•ʔ(oUo✿),con gấu,kaomoji
ʕ•ᴥ•ʔ(╹ᵕ╹✿),con gấu,kaomoji
ʕ•ᴥ•ʔ(⚈U⚈ ),con gấu,kaomoji
ʕ•ᴥ•ʔ(⚈U⚈),con gấu,kaomoji
ʕ•ᴥ•ʔ(⚈u⚈ ),con gấu,kaomoji
ʕ•ᴥ•ʔ_,con gấu,kaomoji
ʕ•ᴥ•ʔcʕ•ᴥ•cʔ,con gấu,kaomoji
ʕ•ᴥ•ʔʕ•ᴥ•ʔ,con gấu,kaomoji
ʕ•ᴥ•ʔε｀●),con gấu,kaomoji
ʕ•ᴥ•ʔψʕ•ᴥ•ʔ,con gấu,kaomoji
ʕ•ᴥ•ʔฅ^•ﻌ•^ฅ,con mèo,kaomoji
ʕ•ᴥ•ʔ‿ʕ•ᴥ•ʔ,con gấu,kaomoji
ʕ•ᴥ•ʔℒᵒᵛᵉᵧₒᵤ,con gấu,kaomoji
ʕ•ᴥ•ʔ⊂(・U・⊂),con gấu,kaomoji
ʕ•ᴥ•ʔ╦̵̵̿╤──,con gấu,kaomoji
ʕ•ᴥ•ʔ☆(˘ε˘ʃƪ),con gấu,kaomoji
ʕ•ᴥ•ʔ♡Lᵒᵛᵉᵧₒᵤ,con gấu,kaomoji
ʕ•ᴥ•ʔ♬,con gấu,kaomoji
ʕ•ᴥ•ʔﾉ♡,con gấu,kaomoji
ʕ•ᴥ•˵ʔ,con gấu,kaomoji
ʕ•ᴥ•˵❁ʔ,con gấu,kaomoji
ʕ•ᴥ•๑ʔ,con gấu,kaomoji
ʕ•ᴥ•⊂ʔ,con gấu,kaomoji
ʕ•ᴥ•⋆ ʔ,con gấu,kaomoji
ʕ•ᴥ•✿ʔ,con gấu,kaomoji
ʕ•ᴥ•❀ʔ,con gấu,kaomoji
ʕ•ᴥ•❁ʔ,con gấu,kaomoji
ʕ•ᴥ├┬┴┬┴,con gấu,kaomoji
ʕ•⊖•ʔ,con gấu,kaomoji
ʕ•⍝͡•ʔ,con gấu,kaomoji
ʕ•┏ل͜┓•ʔ,con gấu,kaomoji
ʕ•╹ᴥ╹ʔ,con gấu,kaomoji
ʕ•╹ᴥ╹ʔ(⁰ᴥ⁰•),con gấu,kaomoji
ʕ•╹ᴥ╹ʔ/,con gấu,kaomoji
ʕ•╹ᴥ╹ʔ/✿,con gấu,kaomoji
ʕ•╹ᴥ╹ʔ/❀,con gấu,kaomoji
ʕ•㉨• ʔ,con gấu,kaomoji
ʕ•㉨•`˵ʔ,con gấu,kaomoji
ʕ•㉨•ʔ,con gấu,kaomoji
ʕ•ꈊ•`ʔ,con gấu,kaomoji
ʕ•ﻌ•✿ʔ,con gấu,kaomoji
ʕ•ﻌ•｡✿ʔ,con gấu,kaomoji
ʕ′￫ ᴥ ￩ʔ(ˇᴥˇU),chó,kaomoji
ʕ′￫ ᴥ￩ʔ(ˇᴥˇU),chó,kaomoji
ʕ′￫ᴥ￩ʔ(ˇᴥˇU),chó,kaomoji
ʕ⁀ᴥ⁀ʔ,con gấu,western
ʕ⁀㉨⁀ʔ,con gấu,kaomoji
ʕ⁎̯͡⁎ ʔ༄,con gấu,kaomoji
ʕ⁎̯͡⁎ʔ༄,con gấu,kaomoji
ʕ⁎̯͡㉨⁎ʔ༄,con gấu,kaomoji
ʕ⁰̈ ᴥ ˘ʔ,con gấu,kaomoji
ʕ⁰̈ ᴥ ⁰̈ʔ,con gấu,kaomoji
ʕ⁰̈ᴥ⁰̈ ʔ,con gấu,kaomoji
ʕ⁰̈ᴥ⁰̈(⁰̈ᴥ⁰̈U),chó,kaomoji
ʕ⁰̈ᴥ⁰̈(⁰̈ᴥ⁰̈u),chó,kaomoji
ʕ⁰̈ᴥ⁰̈(◉ᴥ◉U),chó,kaomoji
ʕ⁰̈ᴥ⁰̈(●ᴥ●u),chó,kaomoji
ʕ⁰̈ᴥ⁰̈oʔ,con gấu,kaomoji
ʕ⁰̈ᴥ⁰̈|____|,con gấu,kaomoji
ʕ⁰̈ᴥ⁰̈ʔ☆(˘ ε˘ʃƪ),con gấu,kaomoji
ʕ⁰̈ᴥ⁰̈ʔ♥(˘ ε˘ʃƪ),chó,kaomoji
ʕ⁰̈ᴥ⁰̈˵ʔ,con gấu,kaomoji
ʕ⁰̈ᴥ⁰̈˶ʔ,con gấu,kaomoji
ʕ⁰̈ᴥ⁰̈●ʔ,con gấu,kaomoji
ʕ⁰̈ᴥ⁰̈♡ʔ,con gấu,kaomoji
ʕ⁰̈ᴥ⁰̈♥ʔ,con gấu,kaomoji
ʕ⁰̈ᴥ⁰̈❀ʔ,con gấu,kaomoji
ʕ⁰̈●̫⁰̈ʔ,con gấu,kaomoji
ʕ⁰ᴥ⁰ʔฅʕ♥ᴥ♥ʔ,con gấu,kaomoji
ʕ⁰ᴥ⁰̈❀ʔ,con gấu,kaomoji
ʕ⁰ᴥ⁰❀ʔ,con gấu,kaomoji
ʕ⁰ᴥ⁰❀ʔฅʕ♥ᴥ♥ʔ,con gấu,kaomoji
ʕ⇀ω↼ʔ,con gấu,western
ʕ∇ᴥ∇ʔ,con gấu,western
ʕ∙ჲ∙ʔ,con gấu,western
ʕ≋ヘ≋ʔ,con gấu,kaomoji
ʕ≚ᴥ≚๑ʔ,con gấu,kaomoji
ʕ≚ᴥ≚●ʔ,con gấu,kaomoji
ʕ≚Ⓣ≚ʔ,con gấu,kaomoji
ʕ≚Ⓣ≚๑ʔ,con gấu,kaomoji
ʕ≧ᴥ•๑ʔ,con gấu,kaomoji
ʕ≧ᴥ≦ ʔ,con gấu,kaomoji
ʕ≧ᴥ≦(•́U•́ ๑),con gấu,kaomoji
ʕ≧ᴥ≦(•́ᴗ•́ ๑),con gấu,kaomoji
ʕ≧ᴥ≦(•́∀•́ ๑),con gấu,kaomoji
ʕ≧ᴥ≦(•́⌄•́ ๑),con gấu,kaomoji
ʕ≧ᴥ≦´ʔhaha,con gấu,kaomoji
ʕ≧ᴥ≦ʔ,con gấu,western
ʕ≧ᴥ≦ʕ≚ᴥ≚๑ʔ,con gấu,kaomoji
ʕ≧ᴥ≦ʕ≚ᴥ≚🌸ʔ,con gấu,kaomoji
ʕ≧ᴥ≦๑ʔ,con gấu,kaomoji
ʕ≧ᴥ≦○ʔ,con gấu,kaomoji
ʕ≧ᴥ≦✿ʔ,con gấu,kaomoji
ʕ≧ᴥ♥๑ʔ,con gấu,kaomoji
ʕ≧㉨≦ʔ,con gấu,kaomoji
ʕ⊙ᴥ⊙ʔ,con gấu,kaomoji
ʕ⊜ ͟ʖ⊜ʔ,con gấu,kaomoji
ʕ⋆ᴥ⋆oʔ,con gấu,kaomoji
ʕ⋆•ᴥ•ʔ,con gấu,kaomoji
ʕ⋆•ᴥ•ʔ(⚈U⚈ ),con gấu,kaomoji
ʕ⋆•ᴥ•ʔ(⚈u⚈ ),con gấu,kaomoji
ʕ⌐■ ³■ʔ,con gấu,kaomoji
ʕ⌐■Ꮂ■ʔ,koala,kaomoji
ʕ⌒ᴥ⌒ʔ.zZ,con gấu,kaomoji
ʕ⌒ᴥ⌒ʔ.zZ ☜(⌒▽⌒),con gấu,kaomoji
ʕ⌒ﻌ⌒ʔ♪♫,con gấu,kaomoji
ʕ⍤ᴥ⍤ʔ,con gấu,western
ʕ⏒Ꮂ⏒ʔ,koala,western
ʕ⏒﹏⏒ʔ,con gấu,kaomoji
ʕ─ヘ─ʔ,con gấu,kaomoji
ʕ╥ᴥ╥ʔ,con gấu,western
ʕ╥ᴥ╥๑ʔ,con gấu,kaomoji
ʕ╥ﻌ╥๑ʔ,con gấu,kaomoji
ʕ╯• ⊱ •╰ʔ,con gấu,kaomoji
ʕ╹ ᴥ <ʔ(⁰ᴥ⁰✿),chó,kaomoji
ʕ╹ ᴥ ╹ʔ,con gấu,kaomoji
ʕ╹ ᴥ ╹ʔ(⁰ᴥ⁰✿),chó,kaomoji
ʕ╹ ᴥ╹ʔ,con gấu,kaomoji
ʕ╹//ᴥ//╹ʔ,con gấu,kaomoji
ʕ╹//ᴥ//╹ʔฅ,con gấu,kaomoji
ʕ╹//ᴥ//╹๑ʔ,con gấu,kaomoji
ʕ╹//ᴥ/╹ʔฅ,con gấu,kaomoji
ʕ╹ᴥ╹oʔ,con gấu,kaomoji
ʕ╹ᴥ╹ʔ,con gấu,western
ʕ╹ᴥ╹ʔ(⁰ᴥ⁰U),chó,kaomoji
ʕ╹ᴥ╹ʔ(⁰ᴥ⁰•),con gấu,kaomoji
ʕ╹ᴥ╹ʔ/ʕ•́ ᴥ •̀ʔ,con gấu,kaomoji
ʕ╹ᴥ╹ʔ/ʕ•́ ᴥ •̀๑ʔ,con gấu,kaomoji
ʕ╹ᴥ╹ʔ/✿ʕ•́ ᴥ •̀๑ʔ,con gấu,kaomoji
ʕ╹ᴥ╹ʔ/❀,con gấu,kaomoji
ʕ╹ᴥ╹ʔ/❀✿ʕ•́ ᴥ •̀๑ʔ,con gấu,kaomoji
ʕ╹ᴥ╹ʔcʕᵔᴥᵔcʔ,con gấu,kaomoji
ʕ╹ᴥ╹ʔcʕ•ᴥ•cʔ,con gấu,kaomoji
ʕ╹ᴥ╹ʔฅ,con gấu,kaomoji
ʕ╹ᴥ╹ʔฅ o,con gấu,kaomoji
ʕ╹ᴥ╹ʔฅʕ•́ᴥ•̀๑ʔ,con gấu,kaomoji
ʕ╹ᴥ╹ʔฅ⋆,con gấu,kaomoji
ʕ╹ᴥ╹ʔฅ☆,con gấu,kaomoji
ʕ╹ᴥ╹ʔฅ✿,con gấu,kaomoji
ʕ╹ᴥ╹ʔ♡,con gấu,kaomoji
ʕ╹ᴥ╹ʔ♡ʕ•͡ᴥ•❁ʔ,con gấu,kaomoji
ʕ╹ᴥ╹ʔ♡ʕ⁰̈ᴥ⁰̈oʔ,con gấu,kaomoji
ʕ╹ᴥ╹ʔ♥,con gấu,kaomoji
ʕ╹ᴥ╹ʔ❀⊂ʕ•ᴥ•⊂ʔ,con gấu,kaomoji
ʕ╹ᴥ╹˵ʔ,con gấu,kaomoji
ʕ╹ᴥ╹๑ʔ,con gấu,kaomoji
ʕ╹ᴥ╹◍ʔ,con gấu,kaomoji
ʕ╹ﻌ╹๑ʔ,con gấu,kaomoji
ʕ■!■ʔ,con gấu,kaomoji
ʕ■Ѡ■ʔ,con gấu,western
ʕ■ل͜■ʔ,con gấu,kaomoji
ʕ■‸■ʔ,con gấu,kaomoji
ʕ■⍊■ʔ,con gấu,kaomoji
ʕ■⍊■ʔʕ■Ѡ■ʔ,con gấu,kaomoji
ʕ■▾■ʔ,con gấu,kaomoji
ʕ▰Д▰ʔ,con gấu,western
ʕ▽ᴥ▽ʔ,con gấu,western
ʕ▽ᴥ▽ʔฅ,con gấu,kaomoji
ʕ◉!◉ʔ,con gấu,kaomoji
ʕ◉Ꮂ◉ʔ,koala,western
ʕ◉ᴥ◉ ʔ,con gấu,kaomoji
ʕ◉ᴥ◉(◉ᴥ◉U),chó,kaomoji
ʕ◉ᴥ◉(◉ᴥ◉u),chó,kaomoji
ʕ◉ᴥ◉ʔ,con gấu,western
ʕ◉ᴥ◉ʔ/,con gấu,kaomoji
ʕ○ᴥ○ʔ,con gấu,kaomoji
ʕ○ᴥ○ʔฅ,con gấu,kaomoji
ʕ○ᴥ○ʔฅ☆,con gấu,kaomoji
ʕ○ᴥ○ʔฅ✿,con gấu,kaomoji
ʕ○ᴥ○ʔ☆,con gấu,kaomoji
ʕ○ᴥ○˵ʔ,con gấu,kaomoji
ʕ○ᵔᴥᵔʔ,con gấu,kaomoji
ʕ○ᵔᴥᵔʔʕᵔᴥᵔ○ʔ,con gấu,kaomoji
ʕ○ᵔᴥᵔʔฅ,con gấu,kaomoji
ʕ○•ᴥ•ʔ,con gấu,kaomoji
ʕ○•ᴥ•ʔ(◕ᴥ◕U),chó,kaomoji
ʕ○•ᴥ•ʔʕᵔ/ᴥ/ᵔ❁ʔ,con gấu,kaomoji
ʕ○•ᴥ•ʔʕᵔᴥ/ᵔ❁ʔ,con gấu,kaomoji
ʕ○•ᴥ•ʔʕ•ᴥ•oʔ,con gấu,kaomoji
ʕ○•ᴥ•ʔ❁,con gấu,kaomoji
ʕ○≧ᴥ≦ʔ,con gấu,kaomoji
ʕ◍ º́גº̀ʔ,con gấu,kaomoji
ʕ◍ º́ﻌº̀ʔ,con gấu,kaomoji
ʕ◍´❛ᴥ❛`ʔ☀,con gấu,kaomoji
ʕ◍º́ﻌº̀ʔ,con gấu,kaomoji
ʕ◍Ꮂ◎ʔ,koala,kaomoji
ʕ◍ᵔ/ᴥ/ᵔʔ^≚ﻌ≚◍^,con mèo,kaomoji
ʕ◍ᵔ/ᴥ/ᵔʔʕ≚ᴥ≚oʔ,con gấu,kaomoji
ʕ◍ᵔ/ᴥ/ᵔʔʕ╹ᴥ╹oʔ,con gấu,kaomoji
ʕ◍ᵔ/ᴥ/ᵔʔʕ╹ᴥ╹◍ʔ,con gấu,kaomoji
ʕ◍ᵔ/ᴥ/ᵔʔ⊂ʕ•ᴥ•⊂ʔ,con gấu,kaomoji
ʕ◍ᵔᴥᵔʔ❤️,con gấu,kaomoji
ʕ◍ᵔﻌᵔʔ,con gấu,kaomoji
ʕ◍ᵔﻌᵔʔʕ≚ᴥ≚oʔ,con gấu,kaomoji
ʕ◍ᵔﻌᵔʔʕ￫ᴥ￩❀ʔ,con gấu,kaomoji
ʕ◍• ᴥ •ʔ/🐟,con gấu,kaomoji
ʕ◍• ᴥ •ʔ🐟,con gấu,kaomoji
ʕ◍• ᴥ •ʔ🐟⊂ʕ•ᴥ•⊂ʔ,con gấu,kaomoji
ʕ◍•͡ᴗ•◍ʔ,con gấu,kaomoji
ʕ◍•ᴥ•ʔ,con gấu,kaomoji
ʕ◍•ᴥ•ʔฅ,con gấu,kaomoji
ʕ◍╭╮◎ʔ,con gấu,kaomoji
ʕ◍╭╮◎ʔʕ◍╭╮◎ʔ,con gấu,kaomoji
ʕ◍○ᴥ○ʔʕᵔᴥᵔ✿ʔ,con gấu,kaomoji
ʕ● >ᴥ•ʔ,con gấu,kaomoji
ʕ●-ﻌ-ʔ♪,con gấu,kaomoji
ʕ●//ᴥ//●ʔ,con gấu,kaomoji
ʕ●//ᴥ//●ʔ(˘̩̩̩◡˘̩̩̩ ),con gấu,kaomoji
ʕ●>ᴥ0ʔ,con gấu,kaomoji
ʕ●>ᴥoʔ,con gấu,kaomoji
ʕ●>ᴥ•ʔ,con gấu,kaomoji
ʕ●>ᴥ⁰̈ʔ,con gấu,kaomoji
ʕ●UᴥUʔ,con gấu,kaomoji
ʕ●UᴥUʔZzz,con gấu,kaomoji
ʕ●UᴥUʔZzzʕUᴥU◉ʔ,con gấu,kaomoji
ʕ●UᴥUʔ⊂ʕ•ᴥ•⊂ʔ,con gấu,kaomoji
ʕ●Uᴥuʔ,con gấu,kaomoji
ʕ●oﻌoʔʕoﻌo❀ʔ,con gấu,kaomoji
ʕ●uᴥuʔ,con gấu,kaomoji
ʕ●¯ᴥ¯ʔ,con gấu,kaomoji
ʕ●¯ᴥ¯ʔฅ,con gấu,kaomoji
ʕ●¯ᴥ¯●ʔ,con gấu,kaomoji
ʕ●¯ᴥ¯●ʔฅ,con gấu,kaomoji
ʕ●¯ᴥ¯●ʔฅʕ☆ᴥ☆ʔฅ,con gấu,kaomoji
ʕ●¯ᴥ¯●ʔฅฅʕ˘ᴥ˘ʔ,con gấu,kaomoji
ʕ●°ᴥ°ʔ♥,con gấu,kaomoji
ʕ●·͡ᴥ·ʔ,con gấu,kaomoji
ʕ●πﻌπʔ♪,con gấu,kaomoji
ʕ●ᴥ<ʔ,con gấu,kaomoji
ʕ●ᴥ●ʔ,con gấu,kaomoji
ʕ●ᴥ●ʔฅ,con gấu,kaomoji
ʕ●ᴥ●❀ʔ,con gấu,kaomoji
ʕ●ᵔﻌᵔʔ,con gấu,kaomoji
ʕ●ᵔﻌᵔʔ(മωമ○),con gấu,kaomoji
ʕ●ᵔﻌᵔʔ(മωമ｀○),con gấu,kaomoji
ʕ●ᵔﻌᵔʔ(・ ω・｀○),con gấu,kaomoji
ʕ●ᵔﻌᵔʔʕoﻌo●ʔ,con gấu,kaomoji
ʕ●ᵔﻌᵔʔʕoﻌo❀ʔ,con gấu,kaomoji
ʕ●ᵔﻌᵔʔฅ,con gấu,kaomoji
ʕ●ᵔﻌᵔʔฅ(≅ᆽ≅),con mèo,kaomoji
ʕ●ᵔﻌᵔʔฅʕ´⁰̈ᴥ⁰̈`ʔ,con gấu,kaomoji
ʕ●ᵔﻌᵔʔฅ🌸,con gấu,kaomoji
ʕ●ᵔﻌᵔʔฅ🍎,con gấu,kaomoji
ʕ●ᵔﻌᵔʔฅ🍏,con gấu,kaomoji
ʕ●ᵔﻌᵔʔ•͡ᴥ•๑ʔ,con gấu,kaomoji
ʕ●ᵔﻌᵔʔ♡(ᵒωᵒ🌸),con gấu,kaomoji
ʕ●ᵔﻌᵔʔ♡🌸,con gấu,kaomoji
ʕ●ᵔﻌᵔʔ🌸,con gấu,kaomoji
ʕ●•́ ᴥ •̀ʔ ʕoﻌo❀ʔ,con gấu,kaomoji
ʕ●•́ ᴥ •̀ʔ❁c(◕U◕✿),con gấu,kaomoji
ʕ●•́ ᴥ •̀ʔ❁c(◕ᴗ◕✿),con gấu,kaomoji
ʕ●⁰̈·͡ᴥ⁰̈ʔ,con gấu,kaomoji
ʕ●⁰̈ᴥ⁰̈ʔ,con gấu,kaomoji
ʕ●⁰̈ᴥ⁰̈●ʔ,con gấu,kaomoji
ʕ●⌒ﻌ⌒ʔ♪,con gấu,kaomoji
ʕ●⌒ﻌ⌒ʔ♪♫,con gấu,kaomoji
ʕ●╹ ᴥ ╹ʔ,con gấu,kaomoji
ʕ●╹ ᴥ╹ʔ,con gấu,kaomoji
ʕ●╹ᴥ╹ʔ,con gấu,kaomoji
ʕ●╹ᴥ╹ʔ♥,con gấu,kaomoji
ʕ●◕㉨◕ʔ,con gấu,kaomoji
ʕ●◕㉨◕ʔʕ ·ᴥ· ●ʔ,con gấu,kaomoji
ʕ●◕㉨◕ʔʕ ·ᴥ· ✿ʔ,con gấu,kaomoji
ʕ●◡ﻌ◡ʔ♪,con gấu,kaomoji
ʕ●♥ᴥ♥ʔ,con gấu,kaomoji
ʕ●ﻌ●๑ʔ,con gấu,kaomoji
ʕ●￣ᴥ￣ʔ♥,con gấu,kaomoji
ʕ◕ ³◕ʔ,con gấu,kaomoji
ʕ◕ᴥ◕ ʔ,con gấu,kaomoji
ʕ◕ᴥ◕oʔ,con gấu,kaomoji
ʕ◕ᴥ◕ʔ,con gấu,kaomoji
ʕ◕ᴥ◕ʔb,con gấu,kaomoji
ʕ◕ᴥ◕ʔʕ ·ᴥ· ✿ʔ,con gấu,kaomoji
ʕ◕ᴥ◕ʔ☆(˘ε˘ʃƪ),con gấu,kaomoji
ʕ◕ᴥ◕๑ʔ,con gấu,kaomoji
ʕ◕ᴥ◕⋆ ʔ,con gấu,kaomoji
ʕ◕ᴥ◕▽ʔ,con gấu,kaomoji
ʕ◕ᴥ◕✿ʔ,con gấu,kaomoji
ʕ◕ﻌ◕๑ʔ,con gấu,kaomoji
ʕ◜.ᴥ.◝ʔ,con gấu,kaomoji
ʕ◜0ᴥ0ʔ,con gấu,kaomoji
ʕ◜0ᴥ0◝ʔ,con gấu,kaomoji
